이름	위도	경도	현대지명
요르단 강	33.1875	35.6194	이스라엘·팔레스타인·요르단
요크	53.96	-1.08	요크, 영국
우크라이나	49.0	32.0	우크라이나
우티카	37.0569	10.0619	우티케, 튀니지
원형 대경기장	41.8859	12.4857	로마, 이탈리아
유다	31.9	35.2	이스라엘/팔레스타인
유대	31.699	35.306	유대, 현 이스라엘/팔레스타인
유럽	50.0	10.0	유럽
유프라테스 강	31.005	47.4419	유프라테스 강, 이라크
이오니아해	38.0	19.0	이오니아해 (이탈리아·그리스 사이)
이집트	26.0	30.0	이집트
이탈리아	42.8333	12.8333	이탈리아
이탈리아 반도	42.5	12.0	이탈리아
인도	20.6367	79.5333	인도
인도양	20.0	70.0	인도양
일레르다	41.3667	-1.0	레이다, 스페인
일리리아	43.8044	17.3294	알바니아·크로아티아·보스니아
일리리쿰	43.5394	16.4831	크로아티아
자마	36.2989	9.4492	튀니지
장안	34.3083	108.8583	시안, 중국 산시성
젤라	40.3	35.883	질레, 터키
중국	35.0	105.0	중국
중동	33	36	중동 지역
지중해	35.0	18.0	지중해
카디스	36.5298	-6.2947	카디스, 스페인
카르타고	36.8528	10.3233	카르타고, 튀니지 (튀니스 북동 15km)
카르타헤나	37.6019	-0.9842	카르타헤나, 무르시아, 스페인
카바 신전	21.4225	39.8223	메카, 사우디아라비아
카스피해	42.0	50.5	카스피해 (러시아·카자흐스탄·투르크메니스탄·이란·아제르바이잔)
카이사레아	38.7225	35.4875	카이세리, 튀르키예
카파도키아	38.7225	35.4875	카이세리, 튀르키예
카푸아	41.086	14.25	산타 마리아 카푸아 베테레, 이탈리아
카푸트바다	35.24	11.12	셰바, 튀니지
카프리 섬	40.55	14.2333	카프리, 이탈리아
칸나이 평원	41.3064	16.1325	바를레타 인근, 풀리아주, 이탈리아
칼케돈	41.03	29.0	카디쾨이, 튀르키예
캄파니아	40.75	14.95	캄파니아 주, 이탈리아
코르도바	37.8847	-4.7764	코르도바, 스페인
코르시카	42.0406	9.0136	코르시카, 프랑스
콘센티아	39.3	16.2	코젠차, 이탈리아
콘스탄티노플	41.0198	28.9498	이스탄불, 터키
콜로세움	41.8903	12.4922	로마, 이탈리아
쾰른	50.9375	6.9603	쾰른, 독일
크레모나	45.1339	10.0261	크레모나, 이탈리아
크레타 섬	37.5	22.5	크레타, 그리스
크로톤	39.08	17.12	크로톤, 이탈리아
크테시폰	33.28	44.58	살만 팍, 이라크
키르쿠스 플라미니우스	41.893	12.477	로마, 이탈리아
키르키스 고원	42.0	80.0	톈산, 키르기스스탄
키프로스	35.0	33.0	키프로스
킬리키아	37.01	34.01	터키 남부
타란토	40.4711	17.2431	타란토, 이탈리아
타르수스	36.9122	34.8958	타르수스, 튀르키예
타프수스	35.6208	11.0417	튀니지
탄아이스	47.1	39.2	돈 강 삼각주, 러시아
탈라모네	42.5551	11.1328	탈라모네, 토스카나주, 이탈리아
터키	37.163	38.7855	튀르키예
테르니	42.5641	12.6406	테르니, 이탈리아
테베	25.684	32.641	룩소르, 이집트
테베레 강	41.8835	12.4755	로마, 이탈리아
테살로니카	40.6283	22.9529	테살로니키, 그리스
테살리아	39.4	22.3	테살리아, 그리스
토리노	45.0792	7.6761	토리노, 피에몬테, 이탈리아
톨레도	39.8581	-4.0226	톨레도, 스페인
투르키스탄	43.0	67.0	투르키스탄, 카자흐스탄
툴루즈	43.6043	1.4437	툴루즈, 프랑스
트라시메노 호수	43.14	12.1	트라시메노 호수, 이탈리아
트라키아	42.5	22.5	터키 북동부·불가리아
트란실바니아	46.3	24.5	클루즈나포카, 루마니아
트레비아 강	44.9885	9.5674	이탈리아 북부
트리어	49.75	6.43	트리어, 독일
티볼리	41.9597	12.7981	티볼리, 라치오주, 이탈리아
티키누스 강	45.2	8.9	이탈리아 북부
파로스 섬	31.213	29.8856	파로스, 이집트
파르살루스	39.3	22.3833	파르살라, 그리스
파비아	45.1833	9.15	파비아, 이탈리아
팔레르모	38.118	13.363	팔레르모, 시칠리아 이탈리아
팔레스티나	31.9521	35.2332	팔레스타인
팔미라	34.5514	38.2681	타드무르, 홈스주, 시리아
페니키아	33.5	35.5	시리아·레바논
페르시아	32.0	54.0	이란
포 강	44.9687	12.5415	포 강, 이탈리아
포룸 테레브로니	43.5881	26.37	라즈그라드, 불가리아
폰투스	40.65	35.8333	터키 북부
폴란드	51.9	19.1	폴란드
폴렌티아	44.7	8.2	폴렌차, 이탈리아
폼페이	40.75	14.4861	폼페이, 이탈리아
푸키누스 호수	41.995	13.5472	푸치노 호수, 이탈리아
프로코네소스	40.62	27.63	마르마라 섬, 튀르키예
필리포폴리스	42.15	24.75	플로브디프, 불가리아
필리피	41.0251	24.3387	필리피, 그리스
하드리아노폴리스	41.6769	26.5556	에디르네, 터키
하이모이시아 속주	41.667	26.567	에디르네, 튀르키예
헤라트	34.35	62.2	헤라트, 아프가니스탄
헬레스폰투스	40.2	26.4	다르다넬스 해협, 차나칼레, 튀르키예
흑해	43.0	36.0	튀르키예·러시아·조지아 등
히포 레기우스	36.9	7.7667	아나바, 알제리
